level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,158,101,21,20,93.294937,산
5,1,1,1,1,2,183,101,16,20,93.163452,업
5,1,1,1,1,3,205,101,17,20,93.304207,공
5,1,1,1,1,4,226,101,18,20,93.268387,학
5,1,1,1,1,5,248,101,17,20,93.285431,종
5,1,1,1,1,6,271,101,16,20,93.305573,합
5,1,1,1,1,7,291,101,17,20,93.2677,설
5,1,1,1,1,8,313,101,16,21,93.292053,계
5,1,1,1,1,9,332,102,11,22,93.286316,(
5,1,1,1,1,10,343,101,15,20,93.281944,캡
5,1,1,1,1,11,363,102,18,16,90.228088,스
5,1,1,1,1,12,385,101,17,20,93.208511,톤
5,1,1,1,1,13,408,101,14,21,93.153671,디
5,1,1,1,1,14,428,101,18,21,93.304817,자
5,1,1,1,1,15,453,101,13,20,93.302597,인
5,1,1,1,1,16,469,104,5,20,97.01342,)
5,1,1,1,1,17,572,101,18,21,93.304352,데
5,1,1,1,1,18,597,101,14,21,93.189285,이
5,1,1,1,1,19,619,101,14,21,93.304756,터
5,1,1,1,1,20,640,101,16,20,93.254715,분
5,1,1,1,1,21,662,101,14,21,93.304146,석
5,1,1,1,1,22,682,101,24,21,93.080254,과
5,1,1,1,1,23,705,97,23,36,93.194344,응
5,1,1,1,1,24,727,101,15,20,95.559395,용
5,1,1,1,1,25,983,101,21,20,93.302757,산
5,1,1,1,1,26,1008,101,15,20,93.266907,업
5,1,1,1,1,27,1030,101,16,20,93.305344,공
5,1,1,1,1,28,1051,101,17,20,93.132935,학
5,1,1,1,1,29,1073,101,17,20,93.263153,종
5,1,1,1,1,30,1096,101,16,20,93.305817,합
5,1,1,1,1,31,1116,101,16,20,92.084412,설
5,1,1,1,1,32,1138,101,15,21,93.239647,계
5,1,1,1,1,33,1156,102,12,22,93.287231,(
5,1,1,1,1,34,1168,101,14,20,93.281982,캡
5,1,1,1,1,35,1188,102,17,16,93.046921,스
5,1,1,1,1,36,1210,101,16,20,93.301361,톤
5,1,1,1,1,37,1231,101,15,21,93.231979,디
5,1,1,1,1,38,1253,101,17,21,93.269928,자
5,1,1,1,1,39,1276,101,14,20,93.288948,인
5,1,1,1,1,40,1291,104,7,20,97.015297,)
5,1,1,1,1,41,1396,101,18,21,93.304733,데
5,1,1,1,1,42,1421,101,14,21,93.254211,이
5,1,1,1,1,43,1443,101,14,21,93.304398,터
5,1,1,1,1,44,1464,101,16,20,93.213181,분
5,1,1,1,1,45,1486,101,14,21,93.305031,석
5,1,1,1,1,46,1506,101,24,21,93.29525,과
5,1,1,1,1,47,1529,97,23,36,93.144806,응
5,1,1,1,1,48,1551,101,15,20,89.868301,용
5,1,1,1,2,1,158,130,17,18,93.053658,정
5,1,1,1,2,2,180,130,13,18,93.279106,영
5,1,1,1,2,3,202,130,10,18,93.303009,선
5,1,1,1,2,4,230,131,16,17,93.261986,공
5,1,1,1,2,5,245,131,52,17,83.263733,14-312
5,1,1,1,2,6,570,130,17,18,93.147606,정
5,1,1,1,2,7,592,130,13,18,93.298752,영
5,1,1,1,2,8,614,130,10,18,93.301743,선
5,1,1,1,2,9,642,131,16,17,93.273521,공
5,1,1,1,2,10,657,131,52,17,84.5634,14-312
5,1,1,1,2,11,982,130,17,18,93.141785,정
5,1,1,1,2,12,1004,130,14,18,93.299538,영
5,1,1,1,2,13,1026,130,10,18,93.301437,선
5,1,1,1,2,14,1054,131,16,17,93.261551,공
